 13112 function calls (12920 primitive calls) in 0.811 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 base.py:853(_ndarray_values)
        1    0.000    0.000    0.000    0.000 base.py:870(empty)
       19    0.000    0.000    0.000    0.000 blocks.py:118(__init__)
        7    0.000    0.000    0.044    0.006 blocks.py:1277(take_nd)
       19    0.000    0.000    0.000    0.000 blocks.py:129(_check_ndim)
        4    0.000    0.000    0.000    0.000 blocks.py:169(_consolidate_key)
        1    0.000    0.000    0.000    0.000 blocks.py:202(external_values)
        5    0.000    0.000    0.000    0.000 blocks.py:213(internal_values)
        6    0.000    0.000    0.000    0.000 blocks.py:243(fill_value)
       66    0.000    0.000    0.000    0.000 blocks.py:247(mgr_locs)
       23    0.000    0.000    0.000    0.000 blocks.py:251(mgr_locs)
        6    0.000    0.000    0.000    0.000 blocks.py:2597(__init__)
        2    0.000    0.000    0.000    0.000 blocks.py:265(make_block)
       10    0.000    0.000    0.000    0.000 blocks.py:275(make_block_same_class)
       15    0.000    0.000    0.001    0.000 blocks.py:2987(get_block_type)
       19    0.000    0.000    0.001    0.000 blocks.py:3033(make_block)
        2    0.000    0.000    0.000    0.000 blocks.py:3059(_extend_blocks)
        1    0.000    0.000    0.000    0.000 blocks.py:3091(_merge_blocks)
        1    0.000    0.000    0.000    0.000 blocks.py:3104(<listcomp>)
        1    0.000    0.000    0.000    0.000 blocks.py:3105(<listcomp>)
       11    0.000    0.000    0.000    0.000 blocks.py:335(shape)
       30    0.000    0.000    0.000    0.000 blocks.py:339(dtype)
       14    0.000    0.000    0.000    0.000 blocks.py:343(ftype)
        1    0.000    0.000    0.000    0.000 blocks.py:650(convert)
        3    0.000    0.000    0.000    0.000 blocks.py:694(copy)
        7    0.000    0.000    0.000    0.000 cast.py:1088(maybe_castable)
        5    0.000    0.000    0.000    0.000 cast.py:1102(maybe_infer_to_datetimelike)
        8    0.000    0.000    0.000    0.000 cast.py:1209(maybe_cast_to_datetime)
        5    0.000    0.000    0.000    0.000 cast.py:1458(construct_1d_object_array_from_listlike)
        5    0.000    0.000    0.000    0.000 cast.py:1483(construct_1d_ndarray_preserving_na)
        2    0.000    0.000    0.000    0.000 cast.py:167(maybe_downcast_numeric)
        8    0.000    0.000    0.000    0.000 cast.py:347(maybe_promote)
        8    0.000    0.000    0.000    0.000 cast.py:503(_ensure_dtype_type)
        2    0.000    0.000    0.000    0.000 common.py:1027(is_datetime64_ns_dtype)
        6    0.000    0.000    0.000    0.000 common.py:1108(is_datetime_or_timedelta_dtype)
        1    0.000    0.000    0.000    0.000 common.py:120(is_s3_url)
        1    0.000    0.000    0.000    0.000 common.py:127(is_gcs_url)
        4    0.000    0.000    0.000    0.000 common.py:1282(needs_i8_conversion)
        2    0.000    0.000    0.000    0.000 common.py:1326(is_numeric_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1369(is_string_like_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1398(<lambda>)
        1    0.000    0.000    0.000    0.000 common.py:140(ensure_int_or_float)
       51    0.000    0.000    0.000    0.000 common.py:1401(is_float_dtype)
       31    0.000    0.000    0.000    0.000 common.py:1435(is_bool_dtype)
        1    0.000    0.000    0.000    0.000 common.py:144(get_filepath_or_buffer)
        6    0.000    0.000    0.000    0.000 common.py:151(cast_scalar_indexer)
      200    0.000    0.000    0.001    0.000 common.py:1565(is_extension_array_dtype)
        1    0.000    0.000    0.000    0.000 common.py:1614(is_complex_dtype)
       15    0.000    0.000    0.000    0.000 common.py:1647(_is_dtype)
      104    0.000    0.000    0.000    0.000 common.py:1672(_get_dtype)
      274    0.000    0.000    0.001    0.000 common.py:1708(_is_dtype_type)
      127    0.000    0.000    0.000    0.000 common.py:1844(pandas_dtype)
        1    0.000    0.000    0.000    0.000 common.py:204(count_not_none)
      184    0.000    0.000    0.000    0.000 common.py:206(classes)
        5    0.000    0.000    0.000    0.000 common.py:208(<genexpr>)
      184    0.000    0.000    0.000    0.000 common.py:208(<lambda>)
       90    0.000    0.000    0.000    0.000 common.py:211(classes_and_not_datetimelike)
       90    0.000    0.000    0.000    0.000 common.py:216(<lambda>)
       10    0.000    0.000    0.000    0.000 common.py:219(asarray_tuplesafe)
       52    0.000    0.000    0.000    0.000 common.py:222(is_object_dtype)
       17    0.000    0.000    0.000    0.000 common.py:252(is_sparse)
        1    0.000    0.000    0.000    0.000 common.py:259(infer_compression)
        2    0.000    0.000    0.000    0.000 common.py:275(maybe_iterable_to_list)
       15    0.000    0.000    0.000    0.000 common.py:339(is_categorical)
       37    0.000    0.000    0.000    0.000 common.py:372(is_datetime64_dtype)
        1    0.000    0.000    0.000    0.000 common.py:40(is_url)
       63    0.000    0.000    0.000    0.000 common.py:403(is_datetime64tz_dtype)
       37    0.000    0.000    0.000    0.000 common.py:441(is_timedelta64_dtype)
       55    0.000    0.000    0.000    0.000 common.py:472(is_period_dtype)
       41    0.000    0.000    0.000    0.000 common.py:506(is_interval_dtype)
      119    0.000    0.000    0.001    0.000 common.py:542(is_categorical_dtype)
       14    0.000    0.000    0.000    0.000 common.py:575(is_string_dtype)
        3    0.000    0.000    0.000    0.000 common.py:58(_expand_user)
       14    0.000    0.000    0.000    0.000 common.py:605(condition)
        2    0.000    0.000    0.000    0.000 common.py:608(is_excluded_dtype)
        6    0.000    0.000    0.000    0.000 common.py:613(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:618(is_period_arraylike)
       28    0.000    0.000    0.000    0.000 common.py:685(is_dtype_equal)
       72    0.000    0.000    0.000    0.000 common.py:775(is_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:78(validate_header_arg)
        8    0.000    0.000    0.000    0.000 common.py:830(is_signed_integer_dtype)
        2    0.000    0.000    0.000    0.000 common.py:88(stringify_path)
        8    0.000    0.000    0.000    0.000 common.py:887(is_unsigned_integer_dtype)
       24    0.000    0.000    0.000    0.000 common.py:987(is_datetime64_any_dtype)
        1    0.000    0.000    0.000    0.000 common.py:99(is_bool_indexer)
        1    0.000    0.000    0.033    0.033 construction.py:213(init_dict)
        1    0.000    0.000    0.013    0.013 construction.py:300(_homogenize)
       18    0.000    0.000    0.000    0.000 construction.py:337(extract_array)
        9    0.000    0.000    0.014    0.002 construction.py:388(sanitize_array)
        9    0.000    0.000    0.001    0.000 construction.py:506(_try_cast)
        1    0.000    0.000    0.030    0.030 construction.py:56(arrays_to_mgr)
        8    0.000    0.000    0.000    0.000 construction.py:570(is_empty_data)
        2    0.000    0.000    0.001    0.001 construction.py:590(create_series_with_explicit_dtype)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1596(validate_periods)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1622(validate_endpoints)
        9    0.000    0.000    0.000    0.000 datetimelike.py:1655(validate_inferred_freq)
        9    0.000    0.000    0.000    0.000 datetimelike.py:1690(maybe_infer_freq)
        4    0.000    0.000    0.007    0.002 datetimelike.py:197(take)
        1    0.000    0.000    0.001    0.001 datetimelike.py:228(min)
        1    0.000    0.000    0.000    0.000 datetimelike.py:285(max)
        1    0.000    0.000    0.000    0.000 datetimelike.py:409(ndim)
       13    0.000    0.000    0.000    0.000 datetimelike.py:443(asi8)
        3    0.000    0.000    0.000    0.000 datetimelike.py:456(_ndarray_values)
        2    0.000    0.000    0.000    0.000 datetimelike.py:484(__array__)
       47    0.000    0.000    0.000    0.000 datetimelike.py:495(__len__)
        2    0.000    0.000    0.000    0.000 datetimelike.py:498(__getitem__)
        1    0.000    0.000    0.000    0.000 datetimelike.py:616(astype)
        4    0.000    0.000    0.006    0.001 datetimelike.py:695(take)
        1    0.000    0.000    0.000    0.000 datetimelike.py:879(_isnan)
        1    0.000    0.000    0.000    0.000 datetimelike.py:886(_hasnans)
        5    0.000    0.000    0.000    0.000 datetimelike.py:895(_delegate_property_get)
       46    0.000    0.000    0.000    0.000 datetimelike.py:969(freq)
        1    0.002    0.002    0.048    0.048 datetimelike.py:993(inferred_freq)
        1    0.000    0.000    0.000    0.000 datetimes.py:1021(date_range)
        1    0.000    0.000    0.001    0.001 datetimes.py:122(_maybe_cache)
        1    0.000    0.000    0.000    0.000 datetimes.py:157(_box_as_indexlike)
        9    0.000    0.000    0.001    0.000 datetimes.py:1678(sequence_to_dt64ns)
        1    0.000    0.000    0.088    0.088 datetimes.py:1806(objects_to_datetime64ns)
       10    0.000    0.000    0.000    0.000 datetimes.py:1889(maybe_convert_dtype)
       23    0.000    0.000    0.000    0.000 datetimes.py:1976(_validate_dt64_dtype)
       18    0.000    0.000    0.000    0.000 datetimes.py:2018(validate_tz_from_dtype)
        1    0.000    0.000    0.000    0.000 datetimes.py:2065(_infer_tz_from_endpoints)
        1    0.000    0.000    0.000    0.000 datetimes.py:2106(_maybe_normalize_endpoints)
       14    0.000    0.000    0.000    0.000 datetimes.py:211(__init__)
        9    0.000    0.000    0.002    0.000 datetimes.py:220(__new__)
        1    0.000    0.000    0.089    0.089 datetimes.py:246(_convert_listlike_datetimes)
       10    0.000    0.000    0.001    0.000 datetimes.py:259(_simple_new)
       22    0.000    0.000    0.000    0.000 datetimes.py:286(_simple_new)
        9    0.000    0.000    0.001    0.000 datetimes.py:298(_from_sequence)
        1    0.000    0.000    0.000    0.000 datetimes.py:339(_generate_range)
        3    0.000    0.000    0.000    0.000 datetimes.py:474(_box_func)
        3    0.000    0.000    0.000    0.000 datetimes.py:476(<lambda>)
      140    0.000    0.000    0.000    0.000 datetimes.py:478(dtype)
       37    0.000    0.000    0.000    0.000 datetimes.py:500(tz)
        1    0.000    0.000    0.090    0.090 datetimes.py:530(to_datetime)
        2    0.000    0.000    0.000    0.000 datetimes.py:549(__array__)
       21    0.000    0.000    0.000    0.000 datetimes.py:55(tz_to_dtype)
        1    0.000    0.000    0.000    0.000 datetimes.py:579(astype)
        1    0.000    0.000    0.000    0.000 datetimes.py:66(should_cache)
        2    0.000    0.000    0.000    0.000 dtype.py:182(construct_from_string)
        2    0.000    0.000    0.000    0.000 dtypes.py:1072(construct_from_string)
       34    0.000    0.000    0.000    0.000 dtypes.py:1124(is_dtype)
        2    0.000    0.000    0.000    0.000 dtypes.py:334(construct_from_string)
        2    0.000    0.000    0.000    0.000 dtypes.py:715(construct_from_string)
      204    0.000    0.000    0.000    0.000 dtypes.py:75(find)
        2    0.000    0.000    0.000    0.000 dtypes.py:867(construct_from_string)
       49    0.000    0.000    0.000    0.000 dtypes.py:917(is_dtype)
        2    0.000    0.000    0.000    0.000 extension.py:208(__getitem__)
        4    0.000    0.000    0.006    0.002 extension.py:238(take)
        1    0.000    0.000    0.000    0.000 extension.py:285(astype)
        2    0.000    0.000    0.048    0.024 extension.py:48(cached)
       11    0.000    0.000    0.000    0.000 extension.py:57(fget)
        4    0.000    0.000    0.000    0.000 frame.py:399(_constructor)
        6    0.000    0.000    0.033    0.005 frame.py:414(__init__)
        1    0.000    0.000    0.000    0.000 frame.py:5736(groupby)
        4    0.000    0.000    0.000    0.000 frequencies.py:204(_get_offset)
        1    0.000    0.000    0.046    0.046 frequencies.py:239(infer_freq)
        1    0.000    0.000    0.001    0.001 frequencies.py:305(__init__)
